variant,fold_id,subject_id,method,n_windows,accuracy,macro_f1,active_macro_f1,nll,override_free_pred_rate
metadata_object_context,1,S015,standardized_logreg_smoothed,4200,0.5002380952380953,0.061477379687070684,0.0008616975441619992,0.9761186592299934,0.49976190476190474
metadata_object_context,1,S022,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,0.975705442943728,0.5
metadata_object_context,1,S034,standardized_logreg_smoothed,4200,0.5007142857142857,0.0640477947483136,0.003430531732418525,0.9755843922960135,0.4992857142857143
metadata_object_context,1,S036,standardized_logreg_smoothed,4200,0.5016666666666667,0.07054644872818318,0.01007069754390341,0.9750543179168047,0.49833333333333335
metadata_object_context,1,S039,standardized_logreg_smoothed,4200,0.5,0.06478621389702101,0.004228329809725159,0.9753776974247818,0.5
metadata_object_context,1,S107,standardized_logreg_smoothed,4200,0.5004761904761905,0.06234870182350689,0.0017233950883239985,0.9757859832988284,0.49952380952380954
metadata_object_context,1,S111,standardized_logreg_smoothed,4200,0.5009523809523809,0.06572325480212439,0.005113736554399576,0.9710164050974293,0.4990476190476191
full_assist_shuffled_tail,1,S012,standardized_logreg_smoothed,4200,0.5178571428571429,0.13119539077044096,0.06962146859170114,1.649542972225554,0.48214285714285715
full_assist_shuffled_tail,1,S013,standardized_logreg_smoothed,4200,0.49952380952380954,0.060673539916422055,0.0,1.749413668033051,0.5004761904761905
full_assist_shuffled_tail,1,S015,standardized_logreg_smoothed,4200,0.48857142857142855,0.07019641041855784,0.009090909090909092,1.748581477962838,0.5114285714285715
full_assist_shuffled_tail,1,S022,standardized_logreg_smoothed,4200,0.49785714285714283,0.06572063982612796,0.0049035607797417065,1.70738360691197,0.5021428571428571
full_assist_shuffled_tail,1,S034,standardized_logreg_smoothed,4200,0.5016666666666667,0.07574378037035337,0.014979781461063513,1.7034665435460912,0.49833333333333335
full_assist_shuffled_tail,1,S036,standardized_logreg_smoothed,4200,0.5183333333333333,0.1204079805092342,0.057389004260090366,1.6111992905592967,0.4816666666666667
full_assist_shuffled_tail,1,S039,standardized_logreg_smoothed,4200,0.38476190476190475,0.08733370658850266,0.040809327940066205,1.91782697308997,0.6152380952380953
full_assist_shuffled_tail,1,S107,standardized_logreg_smoothed,4200,0.5114285714285715,0.10071715040580866,0.038655594795586605,1.7392703149936208,0.48857142857142855
full_assist_shuffled_tail,1,S111,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8168468852045054,0.5
assist_tail_shuffled_only,1,S012,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8457569907647418,0.5
assist_tail_shuffled_only,1,S013,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8464664996832063,0.5
