audit,split,fold_id,condition,policy,accuracy,balanced_accuracy,macro_f1,active_macro_f1,risk_coverage_auc,mean_cdc,expected_cdc,mean_cdc_all,candidate_cdc_all,intervention_rate,changed_vs_user_rate,n_test,tau,threshold,budget_type,budget,dev_budget_value,test_budget_value,test_budget_gap
context_degradation,amputee_loso,8,within_subject_shuffle,CD-margin tau=0.05,0.21,0.12467532467532468,0.11031960874353618,0.09862091156339513,0.8833095373486182,0.024703140579169842,0.017527466410934795,0.017527466410934795,0.02674205557756259,0.7095238095238096,0.7095238095238096,4200,0.05,,,,,,
context_degradation,amputee_loso,8,within_subject_shuffle,CD-margin tau=0.10,0.16404761904761905,0.09645021645021647,0.08812756184324205,0.0818648219548168,0.90191353964575,0.030882215397935786,0.025904296392125662,0.025904296392125662,0.02674205557756259,0.8388095238095238,0.8388095238095238,4200,0.1,,,,,,
context_degradation,amputee_loso,8,within_subject_shuffle,CD-margin tau=0.20,0.1619047619047619,0.09372294372294374,0.08626741138260864,0.07981789227886846,0.9012269944210805,0.03159398971188829,0.02674205557756259,0.02674205557756259,0.02674205557756259,0.8464285714285714,0.8464285714285714,4200,0.2,,,,,,
context_degradation,amputee_loso,8,within_subject_shuffle,CD-margin tau=0.50,0.1619047619047619,0.09372294372294374,0.08626741138260864,0.07981789227886846,0.9012269944210805,0.03159398971188829,0.02674205557756259,0.02674205557756259,0.02674205557756259,0.8464285714285714,0.8464285714285714,4200,0.5,,,,,,
context_degradation,amputee_loso,8,within_subject_shuffle,CD-margin tau=1.00,0.1619047619047619,0.09372294372294374,0.08626741138260864,0.07981789227886846,0.9012269944210805,0.03159398971188829,0.02674205557756259,0.02674205557756259,0.02674205557756259,0.8464285714285714,0.8464285714285714,4200,1.0,,,,,,
context_degradation,amputee_loso,8,global_shuffle,AssistOnly,0.1619047619047619,0.09372294372294374,0.08626741138260864,0.07981789227886846,0.8340785708291443,0.03159398971188829,0.02674205557756259,0.02674205557756259,0.02674205557756259,0.8464285714285714,0.8464285714285714,4200,,,,,,,
context_degradation,amputee_loso,8,global_shuffle,CD-margin tau=0.00,0.3880952380952381,0.18121212121212119,0.14367284657271784,0.1003648852220801,0.5301610316562348,0.0,0.0,0.0,0.02674205557756259,0.0,0.0,4200,0.0,,,,,,
context_degradation,amputee_loso,8,global_shuffle,CD-margin tau=0.01,0.38642857142857145,0.17662337662337663,0.14408337738627822,0.10046326840055056,0.626247654663696,0.005256950134572058,0.0005882777531544921,0.0005882777531544921,0.02674205557756259,0.11190476190476191,0.11190476190476191,4200,0.01,,,,,,
context_degradation,amputee_loso,8,global_shuffle,CD-margin tau=0.02,0.36047619047619045,0.16722943722943723,0.13977333144316897,0.09929748050860261,0.7304473121221543,0.011259178663984615,0.0031204009440185935,0.0031204009440185935,0.02674205557756259,0.27714285714285714,0.27714285714285714,4200,0.02,,,,,,
context_degradation,amputee_loso,8,global_shuffle,CD-margin tau=0.05,0.21,0.12467532467532468,0.11031960874353618,0.09862091156339513,0.8833095373486182,0.024703140579169842,0.017527466410934795,0.017527466410934795,0.02674205557756259,0.7095238095238096,0.7095238095238096,4200,0.05,,,,,,
