audit,split,model,n_folds,accuracy_mean,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_mean,macro_f1_ci_low,macro_f1_ci_high,active_macro_f1_mean,active_macro_f1_ci_low,active_macro_f1_ci_high,nll_mean,nll_ci_low,nll_ci_high,ece_mean,ece_ci_low,ece_ci_high,brier_mean,brier_ci_low,brier_ci_high
context_prior_or_assist_ablation,all_subject_kfold,assist_prefix_extra_trees,5,0.489010582010582,0.4620491517122625,0.5159720123089014,0.1541231361231361,0.1456585080808664,0.16258776416540582,0.15640937776719924,0.14588637799777732,0.16693237753662116,0.09885507144761513,0.09165608226072756,0.10605406063450269,1.8263675824294456,1.7854285131300722,1.867306651728819,0.16461040756026374,0.1402890903844505,0.18893172473607697,0.7214482407998194,0.7066607778120346,0.7362357037876042
context_prior_or_assist_ablation,all_subject_kfold,assist_tail_extra_trees,5,0.637015873015873,0.6149021955669388,0.6591295504648073,0.7503318903318903,0.6910545635820468,0.8096092170817338,0.6419658659104678,0.610477933677895,0.6734537981430405,0.7401056442989433,0.6971494824482981,0.7830618061495885,0.7763436033933301,0.6592161428049299,0.8934710639817303,0.03036219806736822,0.025079344371466195,0.03564505176327024,0.4588080295498852,0.4271567128142386,0.4904593462855318
context_prior_or_assist_ablation,all_subject_kfold,metadata_extra_trees,5,0.41617460317460325,0.41461226979254046,0.41773693655666605,0.7523953823953823,0.7514190579613946,0.7533717068293699,0.5025138490277692,0.5011112504546869,0.5039164476008515,0.7499763510044876,0.7484446913469583,0.7515080106620168,1.3654773308649393,1.3614709110446537,1.3694837506852249,0.33786333612472197,0.3364750518561495,0.33925162039329443,0.8454415298518235,0.8428352830561174,0.8480477766475296
context_prior_or_assist_ablation,all_subject_kfold,metadata_logreg,5,0.4144708994708994,0.41412422805592713,0.4148175708858716,0.7535834535834535,0.7529531419198676,0.7542137652470393,0.5000147648211437,0.4995410444502679,0.5004884851920195,0.825010076110521,0.8242466796082807,0.8257734726127614,1.386245456002313,1.3833156269667146,1.3891752850379113,0.34505351568098774,0.3445722303639444,0.3455348009980311,0.8487751651889385,0.8477494423729737,0.8498008880049033
context_prior_or_assist_ablation,all_subject_kfold,object_only_prior_active_conditional,5,0.3357142857142857,0.3357142857142857,0.3357142857142857,0.6103896103896104,0.6103896103896104,0.6103896103896104,0.40766236913638226,0.4076623691363822,0.4076623691363823,0.6630997489594874,0.6630997489594874,0.6630997489594874,14.08740994521266,14.087409945212658,14.087409945212661,0.33383975460272297,0.33383975460272297,0.33383975460272297,0.9982480749711892,0.9982480749711892,0.9982480749711892
context_prior_or_assist_ablation,all_subject_kfold,object_only_prior_allclass,5,0.5,0.5,0.5,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.060606060606060594,0.06060606060606059,0.0606060606060606,0.0,0.0,0.0,0.9650475355539442,0.9650475355539441,0.9650475355539443,0.0006638395502222005,0.0006638395502222005,0.0006638395502222005,0.5931328800012831,0.5931328800012831,0.5931328800012831
context_prior_or_assist_ablation,all_subject_kfold,object_prior_active_conditional,5,0.4142857142857143,0.4142857142857143,0.4142857142857143,0.7532467532467532,0.7532467532467532,0.7532467532467532,0.49329185361351524,0.4932918536135152,0.4932918536135153,0.8147809364880704,0.8147809364880704,0.8147809364880704,13.952533170405726,13.952533170405726,13.952533170405726,0.4111706032843506,0.4111706032843506,0.4111706032843506,0.996957663329572,0.9969576633295719,0.9969576633295721
context_prior_or_assist_ablation,all_subject_kfold,object_prior_allclass,5,0.5,0.5,0.5,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.060606060606060594,0.06060606060606059,0.0606060606060606,0.0,0.0,0.0,0.83017157903386,0.8301715790338599,0.8301715790338601,0.0008845105219174032,0.0008845105219174032,0.0008845105219174032,0.5483537423877048,0.5483537423877048,0.5483537423877048
context_prior_or_assist_ablation,amputee_loso,assist_full_extra_trees,15,0.6581587301587302,0.6082451625927818,0.7080722977246785,0.5904963924963926,0.47970164085551315,0.7012911441372721,0.566254044083854,0.45767588301334206,0.674832205154366,0.5829783478819246,0.46094136864720914,0.7050153271166401,0.8719806256185502,0.6303041424357617,1.1136571088013385,0.09084460450357693,0.07215665856422404,0.10953255044292981,0.4698906950911178,0.40156102207119093,0.5382203681110447
context_prior_or_assist_ablation,amputee_loso,assist_prefix_extra_trees,15,0.4408253968253968,0.3897228678840858,0.4919279257667078,0.12248773448773446,0.10764018965938475,0.13733527931608416,0.1059728427789655,0.08987475495878572,0.12207093059914528,0.04861350455940549,0.0372620936018321,0.05996491551697888,1.959529076666734,1.8812589019300865,2.0377992514033814,0.16434792466665224,0.14149662923806738,0.1871992200952371,0.7607236718752681,0.7306231082438333,0.790824235506703
context_prior_or_assist_ablation,amputee_loso,assist_tail_extra_trees,15,0.6001746031746031,0.5481840135227664,0.6521651928264399,0.6688369408369408,0.5481866012643742,0.7894872804095073,0.5624487792633169,0.4602642914724312,0.6646332670542027,0.6465222165533412,0.5173192718313571,0.7757251612753253,0.9111800384088008,0.6651238208532888,1.1572362559643128,0.07032136402248702,0.05194356749773499,0.08869916054723906,0.5061342422789158,0.4414824766566408,0.5707860079011908
context_prior_or_assist_ablation,amputee_loso,metadata_extra_trees,15,0.4168095238095238,0.4134198401140213,0.4201992075050263,0.7481212121212121,0.7440963775536052,0.7521460466888189,0.5024865543173387,0.49992829132651045,0.5050448173081669,0.7678431960710167,0.749112604377209,0.7865737877648245,1.3746587109508772,1.368435863611484,1.3808815582902705,0.3378036612362742,0.3349092200755213,0.3406981023970271,0.8444633555694948,0.8389379390354224,0.8499887721035673
context_prior_or_assist_ablation,amputee_loso,metadata_logreg,15,0.41395238095238096,0.41323982686086697,0.41466493504389496,0.7525887445887445,0.7512722135429691,0.7539052756345198,0.5000724535841562,0.49907822171240035,0.501066685455912,0.8196764318949454,0.8103535937024525,0.8289992700874383,1.3834569128390386,1.3714098065145137,1.3955040191635635,0.3450168522794396,0.34316613939693974,0.3468675651619395,0.8469923852920979,0.842062815430413,0.8519219551537828
context_prior_or_assist_ablation,amputee_loso,object_only_prior_active_conditional,15,0.33571428571428563,0.3357142857142856,0.3357142857142857,0.6103896103896104,0.6103896103896104,0.6103896103896104,0.4076623691363822,0.40766236913638215,0.40766236913638226,0.6630997489594873,0.6630997489594872,0.6630997489594874,14.089411373060472,14.089411373060472,14.089411373060472,0.33080075875813447,0.3308007587581344,0.3308007587581345,0.9954351101531477,0.9954351101531476,0.9954351101531478
context_prior_or_assist_ablation,amputee_loso,object_only_prior_allclass,15,0.5,0.5,0.5,0.09090909090909088,0.09090909090909087,0.0909090909090909,0.06060606060606058,0.060606060606060566,0.060606060606060594,0.0,0.0,0.0,0.9670546797882993,0.9670546797882992,0.9670546797882994,0.0017450358123583531,0.0017450358123583531,0.0017450358123583531,0.593138855112356,0.5931388551123559,0.5931388551123561
