audit,split,fold_id,model,class_id,support,class_accuracy,tp,fn,fp
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,7,210,0.009523809523809525,2,208,25
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,8,210,0.20476190476190476,43,167,297
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,9,210,0.12380952380952381,26,184,173
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,10,210,0.05714285714285714,12,198,141
user_decoder_adequacy,amputee_loso,0,lda,0,2100,0.969047619047619,2035,65,1412
user_decoder_adequacy,amputee_loso,0,lda,1,210,0.3333333333333333,70,140,605
user_decoder_adequacy,amputee_loso,0,lda,2,210,0.02857142857142857,6,204,25
user_decoder_adequacy,amputee_loso,0,lda,3,210,0.0,0,210,2
user_decoder_adequacy,amputee_loso,0,lda,4,210,0.0,0,210,1
user_decoder_adequacy,amputee_loso,0,lda,5,210,0.0,0,210,1
user_decoder_adequacy,amputee_loso,0,lda,6,210,0.0,0,210,0
user_decoder_adequacy,amputee_loso,0,lda,7,210,0.004761904761904762,1,209,0
user_decoder_adequacy,amputee_loso,0,lda,8,210,0.004761904761904762,1,209,0
user_decoder_adequacy,amputee_loso,0,lda,9,210,0.004761904761904762,1,209,9
user_decoder_adequacy,amputee_loso,0,lda,10,210,0.004761904761904762,1,209,30
user_decoder_adequacy,amputee_loso,0,logreg,0,2100,0.7423809523809524,1559,541,481
user_decoder_adequacy,amputee_loso,0,logreg,1,210,0.3476190476190476,73,137,763
user_decoder_adequacy,amputee_loso,0,logreg,2,210,0.23809523809523808,50,160,431
user_decoder_adequacy,amputee_loso,0,logreg,3,210,0.02857142857142857,6,204,120
user_decoder_adequacy,amputee_loso,0,logreg,4,210,0.09047619047619047,19,191,290
user_decoder_adequacy,amputee_loso,0,logreg,5,210,0.0,0,210,9
user_decoder_adequacy,amputee_loso,0,logreg,6,210,0.014285714285714285,3,207,24
user_decoder_adequacy,amputee_loso,0,logreg,7,210,0.04285714285714286,9,201,109
user_decoder_adequacy,amputee_loso,0,logreg,8,210,0.023809523809523808,5,205,28
user_decoder_adequacy,amputee_loso,0,logreg,9,210,0.009523809523809525,2,208,11
user_decoder_adequacy,amputee_loso,0,logreg,10,210,0.1,21,189,187
user_decoder_adequacy,amputee_loso,0,random_forest,0,2100,0.9095238095238095,1910,190,796
user_decoder_adequacy,amputee_loso,0,random_forest,1,210,0.0761904761904762,16,194,221
user_decoder_adequacy,amputee_loso,0,random_forest,2,210,0.01904761904761905,4,206,33
user_decoder_adequacy,amputee_loso,0,random_forest,3,210,0.06190476190476191,13,197,152
user_decoder_adequacy,amputee_loso,0,random_forest,4,210,0.023809523809523808,5,205,47
user_decoder_adequacy,amputee_loso,0,random_forest,5,210,0.11428571428571428,24,186,204
user_decoder_adequacy,amputee_loso,0,random_forest,6,210,0.02857142857142857,6,204,74
user_decoder_adequacy,amputee_loso,0,random_forest,7,210,0.014285714285714285,3,207,26
user_decoder_adequacy,amputee_loso,0,random_forest,8,210,0.1619047619047619,34,176,269
user_decoder_adequacy,amputee_loso,0,random_forest,9,210,0.10476190476190476,22,188,202
