audit,split,condition,policy,n_folds,accuracy_mean,accuracy_ci_low,accuracy_ci_high,active_macro_f1_mean,active_macro_f1_ci_low,active_macro_f1_ci_high,risk_coverage_auc_mean,risk_coverage_auc_ci_low,risk_coverage_auc_ci_high,mean_cdc_mean,mean_cdc_ci_low,mean_cdc_ci_high,expected_cdc_mean,expected_cdc_ci_low,expected_cdc_ci_high,mean_cdc_all_mean,mean_cdc_all_ci_low,mean_cdc_all_ci_high,candidate_cdc_all_mean,candidate_cdc_all_ci_low,candidate_cdc_all_ci_high,intervention_rate_mean,intervention_rate_ci_low,intervention_rate_ci_high
context_degradation,all_subject_kfold,uniform_mix_lambda=0.25,CD-margin tau=1.00,5,0.5220740740740741,0.47969057019141076,0.5644575779567376,0.7224804561892135,0.6686973929900862,0.7762635193883408,0.4677381282931193,0.339262012528598,0.5962142440576406,0.07556651809709798,0.016482848984382514,0.13465018720981345,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.8103333333333333,0.7971397969851156,0.8235268696815511
context_degradation,all_subject_kfold,uniform_mix_lambda=0.50,AssistOnly,5,0.5220740740740741,0.47969057019141076,0.5644575779567376,0.7224804561892135,0.6686973929900862,0.7762635193883408,0.424397987343814,0.2789386665193606,0.5698573081682674,0.07556651809709798,0.016482848984382514,0.13465018720981345,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.8103333333333333,0.7971397969851156,0.8235268696815511
context_degradation,all_subject_kfold,uniform_mix_lambda=0.50,CD-margin tau=0.00,5,0.3260476190476191,0.29397914298152505,0.3581160951137131,0.13399436164831163,0.1252300251446686,0.14275869815195466,0.6982520387679776,0.6164127314195574,0.7800913461163977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.0,0.0,0.0
context_degradation,all_subject_kfold,uniform_mix_lambda=0.50,CD-margin tau=0.01,5,0.4204656084656085,0.36350336113590354,0.47742785579531344,0.4113504340749178,0.20943491044912863,0.6132659577007069,0.5603856301316762,0.46527355406853743,0.655497706194815,0.005102990312297629,0.005070260545469201,0.005135720079126056,0.0017483165616930553,0.0004316230516783143,0.0030650100717077963,0.0017483165616930553,0.0004316230516783143,0.0030650100717077963,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.34228042328042324,0.08448207999052187,0.6000787665703247
context_degradation,all_subject_kfold,uniform_mix_lambda=0.50,CD-margin tau=0.02,5,0.4423703703703704,0.3815207705202445,0.5032199702204962,0.48316803808239106,0.24876402665419264,0.7175720495105895,0.5403614227386424,0.4427980214321322,0.6379248240451526,0.008278380768072966,0.006499085596141107,0.010057675940004826,0.003095072977511177,0.0010640864232742161,0.005126059531748137,0.003095072977511177,0.0010640864232742161,0.005126059531748137,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.44361904761904764,0.12852303970468743,0.7587150555334079
context_degradation,all_subject_kfold,uniform_mix_lambda=0.50,CD-margin tau=0.05,5,0.47104761904761905,0.42520743053520976,0.5168878075600284,0.5463293935165214,0.35656681015233976,0.736091976880703,0.5349573331155616,0.4341587445731224,0.6357559216580008,0.016373588473001095,0.00691812045051486,0.025829056495487328,0.005926915204676529,0.004264811314661757,0.007589019094691301,0.005926915204676529,0.004264811314661757,0.007589019094691301,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.5252433862433863,0.2467954322135006,0.8036913402732719
context_degradation,all_subject_kfold,uniform_mix_lambda=0.50,CD-margin tau=0.10,5,0.49328042328042326,0.4579395308519545,0.528621315708892,0.6243926984804675,0.5113083544656238,0.7374770424953112,0.5234703651332214,0.41217199142226923,0.6347687388441736,0.027990374811996066,0.00607783059802508,0.04990291902596705,0.013939505958972271,0.004844163685352457,0.023034848232592085,0.013939505958972271,0.004844163685352457,0.023034848232592085,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.6342539682539683,0.4450963578240966,0.82341157868384
context_degradation,all_subject_kfold,uniform_mix_lambda=0.50,CD-margin tau=0.20,5,0.5094867724867725,0.4689990064197568,0.5499745385537883,0.6884453588128336,0.6383463693136132,0.7385443483120541,0.5120568579980737,0.39121683036404026,0.632896885632107,0.04127069645348848,0.003785210203942735,0.07875618270303422,0.027628574524793836,0.004734491837289925,0.05052265721229775,0.027628574524793836,0.004734491837289925,0.05052265721229775,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.7325343915343915,0.6497989856053777,0.8152697974634052
context_degradation,all_subject_kfold,uniform_mix_lambda=0.50,CD-margin tau=0.50,5,0.514888888888889,0.4724424030223974,0.5573353747553805,0.7170471801898659,0.6674040689638722,0.7666902914158596,0.501807587198036,0.3736363942243376,0.6299787801717344,0.053621342182229914,-0.00043227385700233406,0.10767495822146217,0.0418230476341498,6.24713576305655e-05,0.08358362391066904,0.0418230476341498,6.24713576305655e-05,0.08358362391066904,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.7818677248677248,0.753701416164713,0.8100340335707367
context_degradation,all_subject_kfold,uniform_mix_lambda=0.50,CD-margin tau=1.00,5,0.5220740740740741,0.47969057019141076,0.5644575779567376,0.7224804561892135,0.6686973929900862,0.7762635193883408,0.4686923072708778,0.3340143176771667,0.6033702968645889,0.07556651809709798,0.016482848984382514,0.13465018720981345,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.06124014195101466,0.013651484046855442,0.10882879985517388,0.8103333333333333,0.7971397969851156,0.8235268696815511
