audit,split,fold_id,subject_id,model,accuracy,balanced_accuracy,macro_f1,active_macro_f1,nll,ece,brier,n
context_prior_or_assist_ablation,all_subject_kfold,3,S113,metadata_logreg,0.41523809523809524,0.7549783549783549,0.5008777276081842,0.8263293721388079,1.387855262578027,0.34459784596822113,0.849425869203184,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S012,assist_full_extra_trees,0.8233333333333334,0.7590476190476191,0.7707845712781611,0.7261641752520621,0.5153624487733509,0.15577985284707108,0.2929337334673976,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S015,assist_full_extra_trees,0.7985714285714286,0.7346753246753246,0.7537439291899662,0.7231500866546487,0.573682804775634,0.16351768719634605,0.33566440147961907,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S016,assist_full_extra_trees,0.775,0.7806493506493507,0.7404517990212401,0.7500445292029437,0.5833891613424289,0.14661902429596654,0.3460894671707638,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S020,assist_full_extra_trees,0.7978571428571428,0.7512987012987012,0.7564963915580543,0.7358602390476391,0.5578535874151712,0.15672902167878128,0.3255430554933775,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S023,assist_full_extra_trees,0.7921428571428571,0.7724675324675325,0.7567028753896643,0.7483210454179325,0.5639779006401024,0.15857289766080487,0.3336459499681972,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S029,assist_full_extra_trees,0.7845238095238095,0.7882251082251082,0.7492730785071842,0.7530562704223024,0.5659551692030172,0.14059994645815976,0.3320844091861137,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S030,assist_full_extra_trees,0.7773809523809524,0.7764069264069264,0.7351459883218553,0.7395445689228274,0.574586858599267,0.13619436425310935,0.3430574841314486,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S111,assist_full_extra_trees,0.6816666666666666,0.5447186147186147,0.5988004979585884,0.5826342752109879,0.726880023929197,0.08603678694097541,0.44189759073240825,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S113,assist_full_extra_trees,0.6342857142857142,0.5512987012987013,0.5689804646065134,0.5916206039082477,0.7298292585010576,0.041753784349807234,0.4651102595659989,4200
