audit,split,fold_id,condition,policy,tau,accuracy,balanced_accuracy,macro_f1,active_macro_f1,risk_coverage_auc,mean_cdc,expected_cdc,mean_cdc_all,candidate_cdc_all,intervention_rate,changed_vs_user_rate,n_test,threshold,budget_type,budget,dev_budget_value,test_budget_value,test_budget_gap,pareto
context_degradation,all_subject_kfold,3,clean,CD-margin tau=0.02,0.02,0.545952380952381,0.7601731601731602,0.5860948927013556,0.7463689593829329,0.3572484422036806,0.006678657900859158,0.005292041308109352,0.005292041308109352,0.005855340539263281,0.7923809523809524,0.7923809523809524,37800,,,,,,,True
context_degradation,all_subject_kfold,3,clean,CD-margin tau=0.05,0.05,0.5578306878306878,0.7798653198653199,0.6012288056091327,0.7655319321703353,0.3469872288142327,0.007127275215255534,0.0057762983126813045,0.0057762983126813045,0.005855340539263281,0.8104497354497354,0.8104497354497354,37800,,,,,,,True
context_degradation,all_subject_kfold,3,clean,CD-margin tau=0.10,0.1,0.5580952380952381,0.7803896103896104,0.6016372267403001,0.7660901993083232,0.34700099683809793,0.007167869026219587,0.005813558957826458,0.005813558957826458,0.005855340539263281,0.811058201058201,0.811058201058201,37800,,,,,,,True
context_degradation,all_subject_kfold,3,clean,CD-margin tau=0.20,0.2,0.5582010582010583,0.7804954304954305,0.6017423445605599,0.7661667798152204,0.34689082410084615,0.007192672714273238,0.005834817886520491,0.005834817886520491,0.005855340539263281,0.8112169312169312,0.8112169312169312,37800,,,,,,,True
prospective_threshold,all_subject_kfold,3,clean,ConfGate dev cdc<=0.02,,0.5638095238095238,0.770952380952381,0.6010654029537393,0.7576661137256326,0.3430887537295475,0.007167360677989248,0.005515644305873789,0.005515644305873789,0.005855340539263281,0.7695502645502645,0.7695502645502645,37800,0.33497558501972147,cdc,0.02,0.019822209515869056,0.005515644305873789,-0.014484355694126212,True
prospective_threshold,all_subject_kfold,3,clean,ConfGate dev cdc<=0.05,,0.5581481481481482,0.7804858104858106,0.6017068377629616,0.7661667798152204,0.34691985069397635,0.007206523393556508,0.005845672494529884,0.005845672494529884,0.005855340539263281,0.8111640211640212,0.8111640211640212,37800,0.23559293943283088,cdc,0.05,0.02052507062353815,0.005845672494529884,-0.04415432750547012,True
prospective_threshold,all_subject_kfold,3,clean,ConfGate dev intervention<=0.10,,0.3836772486772487,0.2566859066859067,0.24355887722460767,0.2339928947060597,0.5071033402522587,0.008847629379828975,0.0004543187467261386,0.0004543187467261386,0.005855340539263281,0.051349206349206346,0.051349206349206346,37800,0.7311321538296179,intervention,0.1,0.08476190476190476,0.051349206349206346,-0.04865079365079366,True
prospective_threshold,all_subject_kfold,3,clean,ConfGate dev intervention<=0.25,,0.4657671957671958,0.42373256373256374,0.3842398612583166,0.412624589380795,0.37442646267976876,0.007385520189641263,0.0013885950261317583,0.0013885950261317583,0.005855340539263281,0.18801587301587303,0.18801587301587303,37800,0.6151916477270527,intervention,0.25,0.22904761904761906,0.18801587301587303,-0.061984126984126975,True
context_degradation,all_subject_kfold,4,clean,CD-margin tau=0.00,0.0,0.37277777777777776,0.18890331890331893,0.17992531922442348,0.14795450487726433,0.576002508518842,0.0,0.0,0.0,0.13238798867639642,0.0,0.0,37800,,,,,,,True
context_degradation,all_subject_kfold,4,clean,CD-margin tau=0.01,0.01,0.38322751322751325,0.20543530543530544,0.19507982796346568,0.16618018443906873,0.5558651055220308,0.00513729761350139,9.146564269540835e-05,9.146564269540835e-05,0.13238798867639642,0.017804232804232805,0.017804232804232805,37800,,,,,,,True
context_degradation,all_subject_kfold,4,clean,CD-margin tau=0.02,0.02,0.39404761904761904,0.2227272727272727,0.21154065026392077,0.18576398108516423,0.5381414106485165,0.010382273645881752,0.00038205668363548983,0.00038205668363548983,0.13238798867639642,0.036798941798941796,0.036798941798941796,37800,,,,,,,True
context_degradation,all_subject_kfold,4,clean,CD-margin tau=0.05,0.05,0.43346560846560844,0.29257816257816255,0.27794626637508363,0.26581356104066256,0.48487622954830445,0.027577614578159857,0.0030809594276076475,0.0030809594276076475,0.13238798867639642,0.11171957671957672,0.11171957671957672,37800,,,,,,,True
context_degradation,all_subject_kfold,4,clean,CD-margin tau=0.10,0.1,0.49952380952380954,0.438051948051948,0.40554555140872517,0.42764312808771715,0.4243353348443887,0.05694532707377274,0.016045626419649562,0.016045626419649562,0.13238798867639642,0.2817724867724868,0.2817724867724868,37800,,,,,,,True
context_degradation,all_subject_kfold,4,clean,CD-margin tau=0.20,0.2,0.5542592592592592,0.6488263588263589,0.5469945178616032,0.640345890511418,0.38097167597723447,0.10150207294032688,0.058218688979344645,0.058218688979344645,0.13238798867639642,0.5735714285714286,0.5735714285714286,37800,,,,,,,True
context_degradation,all_subject_kfold,4,clean,CD-margin tau=0.50,0.5,0.5645767195767196,0.7796200096200097,0.6007014178814791,0.7556411036343096,0.35819157166511445,0.14869966458465783,0.11450267558374695,0.11450267558374695,0.13238798867639642,0.7700264550264551,0.7700264550264551,37800,,,,,,,True
