split,fold_id,calibration,branch,accuracy,balanced_accuracy,macro_f1,active_macro_f1,nll,ece,brier,temperature_user,temperature_assist,dirichlet_user_method,dirichlet_assist_method
amputee_loso,1,dirichlet_logreg,user,0.44571428571428573,0.13324675324675325,0.09908544357502733,0.04092962831791034,3.6356628776313156,0.25095917131684636,0.872475998007972,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,1,dirichlet_logreg,assist,0.5738095238095238,0.3267965367965368,0.3473509673604908,0.30580832576488065,1.1493380592596927,0.0727482132812895,0.5682308864762857,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,2,none,user,0.32,0.147012987012987,0.1321498462312485,0.09176974098651747,2.310727460735575,0.1512399387460793,0.8794253822307894,,,,
amputee_loso,2,none,assist,0.5571428571428572,0.7877922077922078,0.604950274559582,0.7712492104540761,1.0017706485072746,0.2239653494808569,0.6089939656162079,,,,
amputee_loso,2,scalar_temperature,user,0.32,0.147012987012987,0.1321498462312485,0.09176974098651747,2.3083144430676943,0.16503541910368752,0.8830330173584793,1.1776935901985248,2.08636000554215,,
amputee_loso,2,scalar_temperature,assist,0.5571428571428572,0.7877922077922078,0.604950274559582,0.7712492104540761,0.82981010263926,0.08946203907358594,0.5204238115207,1.1776935901985248,2.08636000554215,,
amputee_loso,2,dirichlet_logreg,user,0.5023809523809524,0.09835497835497836,0.07565180377331676,0.013998280473300977,1.7619337186694948,0.07042827661234043,0.6806836522187902,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,2,dirichlet_logreg,assist,0.7138095238095238,0.6541991341991342,0.6516566496108752,0.6557391914086392,0.6005802176445626,0.022477123141396896,0.37246150864874095,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,3,none,user,0.3678571428571429,0.15532467532467534,0.14446385294870404,0.09904478321276368,2.2514485433830926,0.20014337307081262,0.8692386697625927,,,,
amputee_loso,3,none,assist,0.5492857142857143,0.7723376623376623,0.5829543853387147,0.7413128515551929,1.054621891061972,0.24987748616644206,0.6282164154822378,,,,
amputee_loso,3,scalar_temperature,user,0.3678571428571429,0.15532467532467534,0.14446385294870404,0.09904478321276368,2.372656477044999,0.2700279562125514,0.9043946885982409,9.999466235530566,3.342249288108143,,
amputee_loso,3,scalar_temperature,assist,0.5492857142857143,0.7723376623376623,0.5829543853387147,0.7413128515551929,0.9027146085093989,0.03896955284601821,0.5128412090323828,9.999466235530566,3.342249288108143,,
amputee_loso,3,dirichlet_logreg,user,0.5004761904761905,0.09177489177489177,0.0623644173198739,0.0016233766233766233,1.818099673196729,0.12480887069389988,0.7025554525325307,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,3,dirichlet_logreg,assist,0.7054761904761905,0.5685281385281384,0.6045964175317801,0.5786990399447602,0.6419842373628865,0.035061098768837194,0.3964713341002326,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,4,none,user,0.21523809523809523,0.0738095238095238,0.06677335648229,0.037205672660538945,2.758239812094357,0.09235093898735051,0.9361079448303569,,,,
amputee_loso,4,none,assist,0.4742857142857143,0.6979220779220779,0.5290583739061185,0.7144008409898278,1.4740584953869427,0.32268522943351413,0.7873744757243356,,,,
amputee_loso,4,scalar_temperature,user,0.21523809523809523,0.0738095238095238,0.06677335648229,0.037205672660538945,2.9455261222101097,0.11389015334613785,0.9526424717497046,0.8067028620783971,2.147911669513966,,
amputee_loso,4,scalar_temperature,assist,0.4742857142857143,0.6979220779220779,0.5290583739061185,0.7144008409898278,1.0472300176409584,0.1647952730197303,0.643996150176458,0.8067028620783971,2.147911669513966,,
amputee_loso,4,dirichlet_logreg,user,0.29928571428571427,0.09337662337662338,0.08447566753916833,0.04799934896555784,2.673874591539486,0.14885443269060272,0.9146418381163706,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,4,dirichlet_logreg,assist,0.5169047619047619,0.5428138528138529,0.5036529583268945,0.5961489873109378,1.0028138636198405,0.1539043375652423,0.6181475134748894,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,5,none,user,0.15642857142857142,0.13324675324675325,0.10342588457583636,0.1050256157634628,2.827871029845291,0.16864381264955253,1.0149056211971177,,,,
amputee_loso,5,none,assist,0.580952380952381,0.7835497835497836,0.614430593960478,0.7642101646904053,1.1432166487788975,0.24898301917670224,0.6172508241940851,,,,
